URI,dcdtr:elementName,skos:prefLabel,dct:description,dcdtr:meaning,dcdtr:containerObject,dcdtr:dataType,dcdtr:valueDomain,dcdtr:unitOfMeasure,source
class/attribute/sampledgeologicunitage,SampledGeologicUnitAge,Sampled Geologic Unit Age,"Age of a sample as described by the stratigraphic  era, period, etc. “Cretaceous”; “Upper Miocene”.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/sampledimensionsheight,SampleDimensionsHeight,Sample Dimensions Height,"Description of sample: height of vertical edge.  If using a form for cuttings or unconsolidated measurments, put in the values of the form. ",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/sampledimensionslength,SampleDimensionsLength,Sample Dimensions Length,"Description of sample: length of 2nd horizontal dimension.  If using a form for cuttings or unconsolidated measurments, put in the values of the form.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/sampledimensionsunits,SampleDimensionsUnits,Sample Dimensions Units,"Units used for height, length and width: centimeters or inches.",,,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
class/attribute/sampledimensionswidth,SampleDimensionsWidth,Sample Dimensions Width,"Description of sample: width or radius or horizontal edge.  If using a form for cuttings or unconsolidated measurments, put in the values of the form.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/samplemass-kg,SampleMass_kg,Sample Mass kg,Weight of Sample measured. Convert units to kilograms.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,def/units-of-measure/kilogram,
class/attribute/samplemeasurementdate,SampleMeasurementDate,Sample Measurement Date,"Date for the record (date on which observation, measurement or test was made or specimen was collected). Day, month and year must be specified; ",,,def/primitive-type/date-time,class/value-domain/calendar-date,,
class/attribute/sampleshape,SampleShape,Sample Shape,"Shape of sample for measurement:  cylinder, square, rectangular, irregular, fine material, coarse material, unknown.",,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/sampletemperature,SampleTemperature,Sample Temperature,"Temperature, in decimal format, used on sample during measurement. Degrees Celsius is preferred and will be reported for consistency in service implementations.",,,def/primitive-type/real-number,,,
class/attribute/sampletemperatureunits,SampleTemperatureUnits,Sample Temperature Units,"Units for Temperature differential used on sample during measurement.  Valid terms include: C (Celsius), F (Fahrenheit), or K (Kelvin).",,,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
class/attribute/sampletype,SampleType,Sample Type,"Type of material used for sample measurement. Category from simple material classification scheme e.g. rock, sediment, liquid, gas, biological material. DataValidTerms tab includes vocabulary used by SESAR (http://www.geosamples.org/), which is recommended for use here.",,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/samplingfeaturename,SamplingFeatureName,Sampling Feature Name,Common or human-readable name by which the feature is known. Recommend using only web-safe characters (a-z A-Z 0-9 _-.) in the name. Be consistent in the naming convention used within any given dataset.,,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/samplingfeaturetype,SamplingFeatureType,Sampling Feature Type,"Type of feature that is the subject of this record: Thermal Spring, Borehole, Well, Pool, Stream, Hypocenter.",,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/samplingfeatureuri,SamplingFeatureURI,Sampling Feature URI,"Unique Identifier for the particular site (station) or well where the sample(s) came from. For wells, this might be the HeaderURI or API number used in other metadata files. If unavailable, state -missing-. SamplingFeature is a concept that represents the feature that accesses the part of the Earth from which the sample came, e.g. outcrop, borehole, dredge haul.",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/saturatedsampleconductivity,SaturatedSampleConductivity,Saturated Sample Conductivity,Saturated measured conductivity or in situ value.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/saturationfluid,SaturationFluid,Saturation Fluid,"Fluid used with rock/sediment material to fill void spaces and saturate (ie., tap water, oil, etc.).",,,def/primitive-type/string,,,
class/attribute/scannedfileurl,ScannedFileURL,ScannedFileURL,"URL or -live link- that will retrieve a digital file containing a scanned image of the log file on the World Wide Web.   Multiple locations may be listed, delimited by  | .",,,def/primitive-type/string,formatted literal,,
class/attribute/se-conductivity,SE_Conductivity,Standard Error Conductivity,Standard Error for Conductivity Value.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/se-correctedgradient,SE_CorrectedGradient,Standard Error Corrected Gradient,Standard Error for Corrected Gradient Value;  this can also be used for comments on gradient calculation,,,def/primitive-type/string,,,
class/attribute/se-correctedheatflow,SE_CorrectedHeatFlow,Standard Error Corrected HeatFlow,Standard Error for Corrected Heat Flow Value. Free text to allow flexibility.,,,def/primitive-type/string,,,
class/attribute/sectionplss,SectionPLSS,Section ,"PLSS section number. Must be numeric or null. Some surveys include half sections indicated by a -nn.5- designation, where n indicates a number.",,class/data-object/us-cadastral-location,def/primitive-type/string,class/value-domain/valid-plss-section-number,,
class/attribute/sectionpart,SectionPart,Section Part,Subdivision of a PLSS section.,,class/data-object/us-cadastral-location,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/seisometernetwork,SeisometerNetwork,Seisometer Network,Network of individual seismometers used to record and transmit data from tremors.,,,def/primitive-type/string,,,
class/attribute/se-uncorrectedgradient,SE_UncorrectedGradient,Standard Error Uncorrected Gradient,Standard Error for Uncorrected Gradient Value; this can also be used for comments on gradient calculation.,,,def/primitive-type/string,,,
class/attribute/se-uncorrectedheatflow,SE_UncorrectedHeatFlow,Standard Error Uncorrected HeatFlow,Standard Error for Heat Flow Value.,,,def/primitive-type/string,,,
class/attribute/shape,Shape,Shape,"Added by GIS for WFS service; this element appears in the xml output, but is generated during service deployment from the latitude and longitude, therefore it does not appear in the template.",,,,,,
class/attribute/shape-area,Shape_Area,Shape Area,Field is automatically generated in ArcMap when creating a service,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/shape-length,Shape_Length,Shape Length,Field is automatically generated in ArcMap when creating a service,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/shutinpressuremethod,ShutInPressureMethod,Shut In Pressure Method,"Descriptive term/Measurement procedure or method used to determine the shut in pressure. May be measured at wellhead or down hole/bottom hole. Data provider should indicate QA/QC performed on the data, including individual or institution, time frame and depth of quality check.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/siteheatflow,SiteHeatFlow,Site Heat Flow,"Highest confidence site value for heat flow based on all available intervals, corrections, quality confidence, etc.  Value used for Heat Flow maps.  (preferred units are mW/m2).",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/sitelocationname,SiteLocationName,Site Location Name,Common or human-readable name by which the feature is known. Recommend using only web-safe characters (a-z A-Z 0-9 _-.) in the name. Be consistent in the naming convention used within any given dataset.,,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/sitelocationuri,SiteLocationURI,Site Location URI,"Unique identifier that specifies the feature represented: e.g. a geologic feature, aquifer or facility structure. Ideally, the identifier is an http URI that will dereference to a known, useful representation of the feature. This identifier will be used to cross reference the feature to other information related to this feature.",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/sitename,SiteName,Site Name,Common or human-readable name by which the feature is known. Recommend using only web-safe characters (a-z A-Z 0-9 _-.) in the name. Be consistent in the naming convention used within any given dataset.,,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/sitevaluemethod,SiteValueMethod,Site Value Method,"Text description of method used to determine site values - instrumentation, logging rate, correction or extrapolation process, how time since circulation was determined, etc. Data provider should indicate QA/QC performed on the data, including individual or institution, time frame and depth of quality check. Single value, Mean Average, average after removal of specific -outlier- interval values, etc.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/slipaccumulationinterval,SlipAccumulationInterval,Slip Accumulation Interval,Time period of averaging for slip rate calculation. Required if slip rate reported.,,,def/primitive-type/string,,,
class/attribute/sliprate,SlipRate,Slip Rate,"Distinguish horizontal  or vertical only slip rate, separation, from actual vector magnitude. Time interval for rate calculation is important component. Value is quantity with uncertainty.",,,def/primitive-type/string,,,
class/attribute/source,Source,Source,"Mandatory. Short text explanation of source of information defining this feature or record; may be author-date type citation, well log, report, data files etc., but should include some indication of how digital data originated. If unpublished data, provide researcher name, date and research institution for proper citation. Separate multiple citations with pipe  |  character.",,,def/primitive-type/list-string-pipe,class/value-domain/narrative-text,,
class/attribute/sourcecitation,SourceCitation,Source Citation,"Mandatory. Short text explanation of source of information defining this feature or record; may be author-date type citation, well log, report, data files etc., but should include some indication of how digital data originated. If unpublished data, provide researcher name, date and research institution for proper citation. Separate multiple citations with pipe  |  character.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/sourcecitationuri,SourceCitationURI,Source Citation URI,"Identifier, DOI or other URI, for the cited source. Ideally an http URI that may be dereferenced to produce a representation of the original source document.",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/sourceuri,SourceURI,Source URI,"Identifier, DOI or other URI, for the cited source. Ideally an http URI that may be dereferenced to produce a representation of the original source document.",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/spacingavg-ft,SpacingAvg_ft,Spacing Avg ft,The average distance between boreholes in feet.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,def/uom/feet,
class/attribute/specificationuri,SpecificationURI,Specification URI,"Ideally an http URI that dereferences to a full complex feature representation. If the FeatureURI is an http URI that can be dereferenced to one or more representations, this URI is redundant. For example, the URI could refer to a GeoSciML Contact feature that describes the instance in detail. If no value is provided then a URI for a nil reason concept  should be provided from list on the OGC_nilValues tab.",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/specification-uri,specification_uri,specification  uri,"Unique identifier that specifies the feature represented: e.g. a geologic feature, aquifer or facility structure. Ideally, the identifier is an http URI that will dereference to a known, useful representation of the feature. This identifier will be used to cross reference the feature to other information related to this feature.",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/specificheat,SpecificHeat,Specific Heat,The amount of heat per unit mass required to raise the temperature by one degree Celsius.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/specificheat-kjkgc,SpecificHeat_kJkgC,Specific Heat kJkgC,Estimated specific heat of water at the estimated air temperature. Report in units of kilo Joules per kilogram per degree celcius (kJ/kg/C).,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/specificheatunits,SpecificHeatUnits,Specific Heat Units,"Reporting units for specific heat. Common units are: calorie/gram, joule/gram.",,,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
class/attribute/specificstorage,SpecificStorage,Specific Storage,"The volume of water an aquifer releases from or takes into storage per unit surface area of the aquifer per unit change in head. One of the physical properties that characterize the capacity of an aquifer to release groundwater (others are  Storativity (S), and specific yield (Sy)). see https://en.wikipedia.org/wiki/Specific_storage",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/specificyield-percent,SpecificYield_percent,SpecificYield percent,"The ratio of the volume of water that a given mass of saturated rock or soil will yield by gravity to the volume of that mass. One of the physical properties that characterize the capacity of an aquifer to release groundwater (others are  Storativity (S), and specific storage). see https://en.wikipedia.org/wiki/Specific_storage#Specific_yield",,,def/primitive-type/real-number,,,
class/attribute/specimencollectiondate,SpecimenCollectionDate,Specimen Collection Date,"Date for the record: date on which observation, measurement or test was made or specimen was collected. Day, month and year must be specified; ",,,def/primitive-type/date-time,class/value-domain/calendar-date,,
class/attribute/specimencollectionmethod,SpecimenCollectionMethod,Specimen Collection Method,"Text description of the process used to collect the analyzed specimen. Include any keywords that may typically be used to categorize sampling procedures. Data provider should indicate QA/QC performed on the data, including individual or institution, time frame and depth of quality check.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/specimencollector,SpecimenCollector,Specimen Collector,"Free text specification of person, organization, affiliation, address, etc. for party that originally collected specimen. Include contact information if available.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/specimencollectoruri,SpecimenCollectorURI,Specimen Collector URI,Unique identifier for party that originally collected specimen. Ideally an http URI that will dereference to some standard representation like CI_ResponsibleParty (ISO19115).,,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/specimencuration,SpecimenCuration,Specimen Curation,Other information about specimen curation-previous history of curation; contact information for person who should be contacted for information about or access to the sample.,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/specimendescription,SpecimenDescription,Specimen Description,"Free text field for any additional observations or other information regarding the feature, any special considerations with this instance (size, weight, quality, lithology, locality, etc).",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/specimenid,SpecimenID,Specimen ID,ID given to the specimen by the collector(s). Recommended practice: include a short abbreviation in a prefix indicating the authority or scope of the identifier (e.g. -usgs:-); any prefixes should be explained in the dataset metadata.,,,def/primitive-type/string,,,
class/attribute/specimenlabel,SpecimenLabel,Specimen Label,Short text string to identify/characterize the samples used in this observation; may include one or more sample names as provided by the sample collector or analyzing laboratory.,,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/specimenmass-kg,SpecimenMass_kg,Specimen Mass kg,Measured or best estimate of mass of sample; report in kilograms for interoperability.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,def/units-of-measure/kilogram,
class/attribute/specimentype,SpecimenType,SpecimenType,"Term to describe the type of specimen. Use term from list of Specimen types. If the specimen type collected is not present on this list, add the specimen type to the list in the example column.",,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/specimenuri,SpecimenURI,Specimen URI,"Unique identifier for sample; should include protocol prefix with known meaning, delimited by a  :  (colon), e.g. igsn:24623570 or http://resources.usgin.org/uri-gin/AZGS/sample/24623570.",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/springname,SpringName,Spring Name,Common or human-readable name by which the feature is known. Recommend using only web-safe characters (a-z A-Z 0-9 _-.) in the name. Be consistent in the naming convention used within any given dataset.,,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/spuddate,SpudDate,Spud Date,"Date on which drilling of the well bore began. Day, month and year must be specified; If only the year is known, enter month and day as Jan. 1. If year is unknown, enter 1900. This is intended as a searching aid.",,,def/primitive-type/date-time,class/value-domain/era-of-borehole-drilling,,
class/attribute/srs,SRS,SRS,"The spatial reference system. It is recommended that an EPSG code be used to identify the SRS used to specify the location.  If an EPSG code is used, identify it as such with the prefix -EPSG:- For common EPSG codes, see the Data Valid Terms tab. EPSG:4326 is the identifier for WGS84, and should be the text in this field. EPSG stands for European Petroleum Survey Group. EPSG codes can be dereferenced by putting the code in this URL (replace 4326) http://spatialreference.org/ref/epsg/4326/.",,class/data-object/coordinate-location,def/primitive-type/string,,,
class/attribute/standarddeviation,StandardDeviation,Standard Deviation,"a measure that is used to quantify the amount of variation or dispersion of a set of data values,  the square root of the variance of a random variable, statistical population, data set, or probability distribution",,class/data-object/measured-value,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,https://en.wikipedia.org/wiki/Standard_deviation
class/attribute/standardmagnitudeerror,StandardMagnitudeError,Standard Magnitude Error,Standard error associated with the reported magnitude.,,,def/primitive-type/string,,,
class/attribute/startreportinterval,StartReportInterval,Start Report Interval,Date reporting period for this observation record starts (Format: 2012-06-22T00:00). ,,,def/primitive-type/date-time,,,
class/attribute/state,State,State,"Required. State name without abbreviations. If unknown or not applicable use -missing-. For offshore locations, specify the governing or nearest state and list the county as -offshore-.",,,def/primitive-type/term,class/value-domain/us-state-name,,
class/attribute/stationidentifier,StationIdentifier,Station Identifier,Unique identifier for the station at which the observation was made.,,,def/primitive-type/uri,,,
class/attribute/stationname,StationName,Station Name,Common or human-readable name by which the feature is known. Recommend using only web-safe characters (a-z A-Z 0-9 _-.) in the name. Be consistent in the naming convention used within any given dataset. The station plays the role of -sampling feature- for the gravity observation.,,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/statisticalprocedure,StatisticalProcedure,Statistical procedure,term for statistical procedure used to summarize a collection of measurements,,,def/primitive-type/term,class/value-domain/statistical-summary-procedures,,
class/attribute/status,Status,Status,Status of the feature at the time indicated in the StatusDate element. If unknown enter -unknown- in the field.,,,def/primitive-type/string,,,
class/attribute/statusdate,StatusDate,Status Date,"The status of the feature can change from time to time, thus it is useful to know the date on which a given status was reported. Day, month and year must be specified; ",,,def/primitive-type/date-time,class/value-domain/era-of-borehole-drilling,,
class/attribute/stimulation,Stimulation,Stimulation,A treatment performed to restore or enhance the productivity of a well.,,,def/primitive-type/string,,,
class/attribute/surfacetemperature,SurfaceTemperature,Surface Temperature,Average Surface Ground Temperature at site based on shallow drilling (~10 m) or the average annual air temperature for the past decade.,,,def/primitive-type/real-number,,,
class/attribute/symbol,Symbol,Symbol,"Identifier for symbol for default portrayal of this feature in some symbol scheme. This is a convienence value, and assumes the existence of SLD or other legend-type artifact that maps from these symbol identifiers to graphical elements. Equivalent to genericSymbolizer element in GeoSciML thematic view schema.",,,def/primitive-type/string,,,
class/attribute/systemtype,SystemType,System Type,Physical type of the system.,,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/targetfeatureuri,TargetFeatureURI,Target Feature URI,"Unique identifier that specifies the feature targeted by this test: e.g. a geologic feature, aquifer or facility structure. Ideally, the identifier is an http URI that will dereference to a known, useful representation of the feature. This identifier will be used to cross reference the test to other information related to this feature.",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/targetformation,TargetFormation,Target Formation,Formation targeted for testing. Spell out formal or informal geologic unit/formation name. Separate multiple names by pipe  |  characters.,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/targetrockname,TargetRockName,Target Rock Name,Rock type of interest in reservoir. Use CGI lithology terms (see SimpleLithology2012 tab).  ,,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/targetrockvolume-m3,TargetRockVolume_m3,Target Rock Volume m3,"Volume of target rock (sand, shale, etc.) between specified isolines within data area.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/tectonicprovince,TectonicProvince,Tectonic Province,Tectonic division of a region based on geology.,,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/temperature,Temperature,Temperature,"Temperature, in decimal format. Degrees Celsius is preferred and will be reported for consistency in service implementations.",,,def/primitive-type/real-number,,,
class/attribute/temperaturecorrection,TemperatureCorrection,Temperature Correction,Report the corrected formation temperature in this field.,,,def/primitive-type/real-number,,,
class/attribute/temperature-f,Temperature_F,Temperature Fahrenheit,"Average temperature, in decimal format, of the fluidover the course of the time interval for this record. Use Fahrenheit units.",,,def/primitive-type/real-number,,,
class/attribute/temperatureflowing,TemperatureFlowing,Temperature Flowing,Report the temperature of the fluid flowing from the well.,,,def/primitive-type/string,,,
class/attribute/temperaturemax-c,TemperatureMax_C,Temperature Max C,"Upper boundary of measured temperature range in reservoir, in decimal format.",,,def/primitive-type/real-number,,,
class/attribute/temperaturemeasuretype,TemperatureMeasureType,Temperature Measure Type,"Method used to collect temperatures. Valid terms include: BHT (Bottom Hole Temperature from well log header) or EQ (Equilibrium or precision data collected using temperature logging gear), MRT (Maximum Reading Thermometers), PL (from Pressure Log), Inferred (e.g. from Heat Production), Other, or Unknown.",,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/temperaturemin-c,TemperatureMin_C,Temperature Min C,"Lower boundary of measured temperature range in reservoir, in decimal format.",,,def/primitive-type/real-number,,,
class/attribute/temperatureunits,TemperatureUnits,Temperature Units,Reporting units are either Celsius (preferred) or Fahrenheit. Use same units throughout this document.,,,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
class/attribute/tempmeasurementdatetime,TempMeasurementDateTime,Temp Measurement Date Time,"Date for the record (date on which observation, measurement or test was made or specimen was collected. Day, month and year must be specified; ",,,def/primitive-type/date-time,class/value-domain/calendar-date,,
class/attribute/tempmeasurementprocedure,TempMeasurementProcedure,Temp Measurement Procedure,Text description of measurement procedure and methods used to calculate corrections.,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/terraincorrection-mgal,TerrainCorrection_mgal,Terrain Correction mgal,"Correction for effects of nearby topography. Hills and valleys attract the mass in the gravimeter (valleys are considered to have negative density with respect to the surrounding rocks) and reduces the observed value of gravity. This correction is always positive (a hill pulls up on the mass in the gravimeter and a valley is a mass deficiency). 4 decimal places is recommended by the USGS (OFR 02-463, p.6).",,,def/primitive-type/real-number,,,
class/attribute/testdatetime,Testdatetime,Test date time,"Date on which test was made. Day, month and year must be specified; ",,,def/primitive-type/date-time,class/value-domain/era-of-borehole-drilling,,
class/attribute/testfluid,TestFluid,Test Fluid,Text field to report the drill test fluid used. Use Controlled Vocabulary.,,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/testname,TestName,Test Name,The human-intelligible well test name using -well name (or a given test name) -test number- run number- used in providing a unique ObservationURI. Multiple test and/or runs  would each have a unique name.,,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/testnumber,TestNumber,Test Number,"Often there are multiple tests (and in the case of drill stem, nultiple runs within a test)  performed on a single borehole.  If this is the case, each test on a well can be assigned a number 1-1, 1-2 for -test 1 run 1- and -test 1 run 2-, or just 1,2, 3... for a test or run only and notated in the report, etc.  The TestNumber is incorportated into the Test Name and ObservationURI for uniqueness.",,,def/primitive-type/string,,,
class/attribute/testoperator,TestOperator,Test Operator,"Name person or company, either proprietor or lessee, actually conducting the well test identified by the ObservationURI. Note that Operator must be the active operator on the reported StatusDate. for water wells, operator is owner of well. Ideally might be an http URI that can dereference to description/metadata for operator.",,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/testtype,TestType,Test Type,"Spell out the test type term; use controlled vocabulary, adding terms as needed.",,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/testtypedescription,TestTypeDescription,Test Type Description,"If -Other- is indicated in TestType field, provide brief explanation and/or name of test.",,,def/primitive-type/string,,,
class/attribute/thermalconductivityunits,ThermalConductivityUnits,Thermal Conductivity Units,Units used for thermal conductivity value. Preferred units are Watt per meter per Kelvin (W m-1K-1).,,,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
class/attribute/thermaldiffusivity,ThermalDiffusivity,Thermal Diffusivity,How rapidly a material changes temperature to match the surroundings - equilibrium.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/thermalspringuri,ThermalSpringURI,Thermal Spring URI,"Unique identifier that specifies the feature represented: e.g. a geologic feature, aquifer or facility structure. Ideally, the identifier is an http URI that will dereference to a known, useful representation of the feature. This identifier will be used to cross reference the feature to other information related to this feature.",,,def/primitive-type/uri,class/value-domain/http-uri,,
class/attribute/timefinalshutin-min,TimeFinalShutIn_min,Time Final Shut In min,Final shut in time duration in minutes.,,,def/primitive-type/real-number,,,
class/attribute/timeinitialshutin-min,TimeInitialShutIn_min,Time Initial Shut In min,Initial shut in time in minutes.,,,def/primitive-type/string,,,
class/attribute/timesincecirculation,TimeSinceCirculation,Time Since Circulation,The amount of time since circulation in well stopped before temperature was taken. Stated on Well Log Header.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/timesincecirculation,TimeSinceCirculation,Time Since Circulation ,"Time since circulation of drilling fluid stopped, in decimal hours.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/toploggedinterval-ft,TopLoggedInterval_ft,Top Logged Interval ft,Depth to the top of the logged interval (report in feet below ground level reported in the ElevationGL_ft field).,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/totalmineheat-kj,TotalMineHeat_kJ,Total Mine Heat kJ,"Heat Extractable from the mine per 1 degree C of change, reported in  (kilojoules, kJ).",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/totalslip,TotalSlip,Total Slip,"Vector (trend, plunge, magnitude) linking piercing points on opposite sides of fault, with uncertainty.",,,def/primitive-type/string,,,
class/attribute/township,Township,Township,"Township in PLSS grid, relative to reported baseline. Formatting and punctuation should be consistent for all locations referenced to the same baseline and meridian. Recommend adding leading 0 so that all number strings are the same length (typically 2 or occasionally 3 digits). Examples 01N, 112S, 001N.",,class/data-object/us-cadastral-location,def/primitive-type/string,class/value-domain/integer-and-half-integer,,
class/attribute/transmissivity,Transmissivity,Transmissivity,"The transmissivity is a measure of how much water can be transmitted horizontally, such as to a pumping well. Transmissivity is directly proportional to horizontal hydraulic conductivity and thickness of the transmitting layer.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/transmissivity-units,Transmissivity_units,Transmissivity units,Units are (length)^2/Time. ,,,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
class/attribute/trap,Trap,Trap,Sealing formation or structural orientation to trap hydrocarbons.,,,def/primitive-type/string,,,
class/attribute/trueverticaldepth,TrueVerticalDepth,True Vertical Depth,Vertical distance from bottom hole point to elevation of borehole origin.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/twp,TWP,TWP,"Township in PLSS grid, relative to reported baseline. Formatting and punctuation should be consistent for all locations referenced to the same baseline and meridian. Recommend adding leading 0 so that all number strings are the same length (typically 2 or occasionally 3 digits). Examples 01N, 112S, 001N.",,class/data-object/us-cadastral-location,def/primitive-type/string,class/value-domain/integer-and-half-integer,,
class/attribute/uncertainty,uncertainty,uncertainty,,,,def/primitive-type/string,,,
class/attribute/uncertaintydensity,UncertaintyDensity,UncertaintyDensity,Free text qualitative or quantitative statement regarding the accuracy of the sample density or the method used to determine.,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/uncertainty-mgal,Uncertainty_mgal,Uncertainty mgal,"Data contributors should include an estimated accuracy for their data (USGS OFR 02-463, p.6).  4 decimal places is recommended by the USGS (OFR 02-463, p.6).",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/uncertaintyspecificheat,UncertaintySpecificHeat,Uncertainty Specific Heat,Report uncertainty if reporting specific heat.,,,def/primitive-type/string,,,
class/attribute/uncertaintytc,UncertaintyTC,Uncertainty Thermal Conductivity,Calculated uncertainty of Thermal Conductivity or Bulk Conductivity value.,,,def/primitive-type/string,,,
class/attribute/uncertaintythermaldiffusivity,UncertaintyThermalDiffusivity,Uncertainty Thermal Diffusivity,Report uncertainty of thermal diffusivity.,,,def/primitive-type/string,,,
class/attribute/units,units,Units Of Measure,Units used to report value of observation.,,,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
class/attribute/unitsofmeasure,UnitsOfMeasure,Units Of Measure,"Units used to report all elevation and depth information, decimal meters or feet.",,,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
class/attribute/unitspermeability,UnitsPermeability,Permeability units,"Units for the reported permability. The SI unit for permeability is m^2. A practical unit for permeability is the darcy (D), or more commonly the millidarcy (mD) (1 darcy \approx10?12/m^2). ",,,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
class/attribute/unitsporosity,UnitsPorosity,Porosity units,"Units of porosity are percent, reported as a decimal value.",,,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
class/attribute/units-pressure,Units_Pressure,Pressure units,UOM for all pressure entries:  lb (pounds per square inch) used primarily in the United States or Pa (pascals) the International System of Units (SI) for pressure. Pa is equal to N/m2 or kg·m?1·s?2.,,,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
class/attribute/unitsstorage,UnitsStorage,Storage units,Units for the reported specific storage. (1/[length]).,,,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
class/attribute/unitstc,UnitsTC,Thermal Conductivity Units,"Reporting units for thermal conductivity measurements; SI (Système International) = watts per meter per Kelvin (W m-1 K-1), or other units.",,,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
class/attribute/units-temperature,Units_Temperature,Temperature units,"Temperature, in decimal format. Degrees Celsius is preferred and will be reported for consistency in service implementations.",,,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
